City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
283,digapahandi,19.3667,84.5833,25.02,93,100,1.41,IN,1690918252
284,sao joao da barra,-21.6403,-41.0511,25.05,68,20,4.07,BR,1690918123
285,chania,35.5122,24.0156,27.78,69,0,0.0,GR,1690918253
286,islamorada,24.9243,-80.6278,32.22,77,100,0.89,US,1690918215
287,puerto san jose,13.9256,-90.8244,31.74,60,100,3.81,GT,1690918253
288,tindouf,27.6711,-8.1474,45.25,6,20,2.06,DZ,1690918253
289,placido de castro,-10.3353,-67.1856,37.37,21,51,0.29,BR,1690918253
290,mejit,10.2753,170.8646,27.43,80,98,6.26,MH,1690918255
291,saipan,15.1355,145.701,27.39,100,0,0.0,MP,1690918255
292,aasiaat,68.7098,-52.8699,3.36,93,84,2.62,GL,1690918255
293,baharly,38.4362,57.4316,34.69,20,3,1.56,TM,1690918255
294,bereket,39.2446,55.5154,30.65,47,0,3.06,TM,1690918256
295,galliano,29.4422,-90.2992,36.11,49,0,1.54,US,1690918256
296,alofi,-19.0595,-169.9187,19.94,88,100,7.72,NU,1690918256
297,bokajan,26.0167,93.7833,25.73,94,100,1.69,IN,1690918256
298,kaohsiung,22.6163,120.3133,28.35,87,75,3.6,TW,1690918033
299,bubaque,11.2833,-15.8333,26.76,81,100,8.77,GW,1690918257
300,san agustin de valle fertil,-30.6335,-67.4682,28.28,17,2,3.06,AR,1690918257
301,konongo,6.6167,-1.2167,22.37,99,100,1.4,GH,1690918257
302,ain sefra,32.75,-0.5833,31.78,7,0,3.85,DZ,1690918258
303,tripoli,32.8752,13.1875,27.98,73,0,5.15,LY,1690917981
304,ulsteinvik,62.3432,5.8487,17.17,90,91,0.89,NO,1690918258
305,bathurst,-33.4166,149.5806,4.9,90,16,3.09,AU,1690918258
306,page,36.9147,-111.4558,29.88,40,0,3.6,US,1690918258
307,kenai,60.5544,-151.2583,18.05,79,0,2.57,US,1690918105
308,eirunepe,-6.6603,-69.8736,36.03,27,60,1.21,BR,1690918258
309,beloyarskiy,63.7119,66.6722,14.79,85,25,2.15,RU,1690918259
310,khotyn,48.4833,26.5,20.2,62,52,3.06,UA,1690918259
311,seydi,39.4816,62.9137,31.97,22,0,5.72,TM,1690918259
312,al qusayr,34.5091,36.5798,24.96,71,0,2.07,SY,1690918259
313,mil'kovo,55.6078,37.7956,21.14,84,100,2.13,RU,1690918259
314,zhangye,38.9342,100.4517,22.66,56,100,2.36,CN,1690918259
